# Reference library (divisor): salt
# Comparison library (numerator): apigennin
Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	apigennin_r1 raw countings	apigennin_r2 raw countings	control_r1 raw countings	control_r2 raw countings	salt_r1 raw countings	salt_r2 raw countings	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
sense	NC_020059.1	Protein Homology	CDS	7788	8153	.	+	0	ID=cds-WP_015338176.1;Parent=gene-RTCIAT899_RS00055;Dbxref=GenBank:WP_015338176.1;Name=WP_015338176.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127457.1;locus_tag=RTCIAT899_RS00055;product=helix-turn-helix domain-containing protein;protein_id=WP_015338176.1;transl_table=11	0	4.0	3.5	8.5	2.0	0	1.94040250273632	-0.323878369308008	1.15874697691737	-0.279507412541111	0.779855450233814	0.967651531145028
sense	NC_020059.1	Protein Homology	CDS	8414	10849	.	+	0	ID=cds-WP_015338177.1;Parent=gene-RTCIAT899_RS00060;Dbxref=GenBank:WP_015338177.1;Name=WP_015338177.1;Ontology_term=GO:0006265,GO:0003677,GO:0003918,GO:0005524,GO:0005694;gbkey=CDS;gene=gyrB;go_component=chromosome|0005694||IEA;go_function=DNA binding|0003677||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA,ATP binding|0005524||IEA;go_process=DNA topological change|0006265||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011423418.1;locus_tag=RTCIAT899_RS00060;product=DNA topoisomerase (ATP-hydrolyzing) subunit B;protein_id=WP_015338177.1;transl_table=11	2.0	35.5	4.2	32.33333333333333	1.0454545454545454	1.0	7.01919132441039	1.39295228829131	1.03825167594263	1.34163259310575	0.179715152795056	0.960224561962078
sense	NC_020059.1	Protein Homology	CDS	10914	11513	.	-	0	ID=cds-WP_015338178.1;Parent=gene-RTCIAT899_RS00065;Dbxref=GenBank:WP_015338178.1;Name=WP_015338178.1;Ontology_term=GO:0000166,GO:0016491;gbkey=CDS;go_function=nucleotide binding|0000166||IEA,oxidoreductase activity|0016491||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127466.1;locus_tag=RTCIAT899_RS00065;product=nitroreductase family protein;protein_id=WP_015338178.1;transl_table=11	0	13.0	1.0	7.0	0	2.0	3.17173260568987	-0.0654242338349499	1.16461836779084	-0.0561765430155913	0.955201167609178	0.994400445557826
sense	NC_020059.1	Protein Homology	CDS	11593	11883	.	-	0	ID=cds-WP_015338179.1;Parent=gene-RTCIAT899_RS00070;Dbxref=GenBank:WP_015338179.1;Name=WP_015338179.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338179.1;locus_tag=RTCIAT899_RS00070;product=DUF2218 domain-containing protein;protein_id=WP_015338179.1;transl_table=11	1.3333333333333333	5.0	0	9.0	0.25	0	1.16573172694527	0.431806037219151	1.03657705620158	0.416569163513474	0.676993568388333	0.960357823831468
sense	NC_020059.1	Protein Homology	CDS	12045	12998	.	+	0	ID=cds-WP_015338180.1;Parent=gene-RTCIAT899_RS00075;Dbxref=GenBank:WP_015338180.1;Name=WP_015338180.1;Ontology_term=GO:0004364,GO:0016491;gbkey=CDS;go_function=glutathione transferase activity|0004364||IEA,oxidoreductase activity|0016491||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004675171.1;locus_tag=RTCIAT899_RS00075;product=glutathione S-transferase family protein;protein_id=WP_015338180.1;transl_table=11	0.125	28.0	3.0	44.0	1.0	3.0	8.23400354735571	0.0153176423965258	1.16482460597632	0.0131501706934557	0.989507984224757	0.998094752784613
sense	NC_020059.1	Protein Homology	CDS	13075	14493	.	+	0	ID=cds-WP_015338181.1;Parent=gene-RTCIAT899_RS00080;Dbxref=GenBank:WP_015338181.1;Name=WP_015338181.1;Ontology_term=GO:0019752,GO:0016830,GO:0030170;gbkey=CDS;go_function=carbon-carbon lyase activity|0016830||IEA,pyridoxal phosphate binding|0030170||IEA;go_process=carboxylic acid metabolic process|0019752||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338181.1;locus_tag=RTCIAT899_RS00080;product=pyridoxal phosphate-dependent decarboxylase family protein;protein_id=WP_015338181.1;transl_table=11	0.0625	6.0	2.5	22.0	2.0	1.0	3.49810484128282	-0.667600490415794	1.13360606023945	-0.588917538315541	0.555916592042119	0.960224561962078
sense	NC_020059.1	Protein Homology	CDS	14626	15468	.	+	0	ID=cds-WP_015338182.1;Parent=gene-RTCIAT899_RS00085;Dbxref=GenBank:WP_015338182.1;Name=WP_015338182.1;Ontology_term=GO:0003824,GO:0016787;gbkey=CDS;go_function=catalytic activity|0003824||IEA,hydrolase activity|0016787||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127478.1;locus_tag=RTCIAT899_RS00085;product=fumarylacetoacetate hydrolase family protein;protein_id=WP_015338182.1;transl_table=11	2.333333333333333	5.0	3.0	4.0	1.0	0	1.62684244200519	0.419625797364173	1.16238202179219	0.361005065027747	0.718095660703053	0.962630647698599
sense	NC_020059.1	Protein Homology	CDS	15755	17032	.	+	0	ID=cds-WP_015338183.1;Parent=gene-RTCIAT899_RS00090;Dbxref=GenBank:WP_015338183.1;Name=WP_015338183.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003536442.1;locus_tag=RTCIAT899_RS00090;product=polyhydroxyalkanoate depolymerase;protein_id=WP_015338183.1;transl_table=11	6.0	25.0	13.045454545454545	43.0	2.0	2.0	9.70222566776652	0.699562360960192	0.870970894957316	0.803198321563289	0.421860115483909	0.960224561962078
sense	NC_020059.1	Protein Homology	CDS	17352	17789	.	+	0	ID=cds-WP_015338184.1;Parent=gene-RTCIAT899_RS00095;Dbxref=GenBank:WP_015338184.1;Name=WP_015338184.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003544108.1;locus_tag=RTCIAT899_RS00095;product=DUF2852 domain-containing protein;protein_id=WP_015338184.1;transl_table=11	0	9.333333333333334	1.0	10.5	0	1.0	2.31991549753975	0.154439951907709	1.15457317209394	0.133763676171009	0.893589451219545	0.983764860221564
sense	NC_020059.1	Protein Homology	CDS	17879	18640	.	+	0	ID=cds-WP_015338185.1;Parent=gene-RTCIAT899_RS00100;Dbxref=GenBank:WP_015338185.1;Name=WP_015338185.1;Ontology_term=GO:0006508,GO:0008233,GO:0008237,GO:0008270,GO:0016787,GO:0046872;gbkey=CDS;go_function=peptidase activity|0008233||IEA,metallopeptidase activity|0008237||IEA,zinc ion binding|0008270||IEA,hydrolase activity|0016787||IEA,metal ion binding|0046872||IEA;go_process=proteolysis|0006508||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003544112.1;locus_tag=RTCIAT899_RS00100;product=M48 family metallopeptidase;protein_id=WP_015338185.1;transl_table=11	1.0	11.0	4.0	17.5	2.0	0	3.34137195523152	0.46309803595294	1.12668014213665	0.411028843620793	0.681051384888753	0.960357823831468
sense	NC_020059.1	Protein Homology	CDS	18740	19171	.	-	0	ID=cds-WP_015338186.1;Parent=gene-RTCIAT899_RS00105;Dbxref=GenBank:WP_015338186.1;Name=WP_015338186.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338186.1;locus_tag=RTCIAT899_RS00105;product=winged helix-turn-helix transcriptional regulator;protein_id=WP_015338186.1;transl_table=11	4.4	5.0	5.200000000000001	6.4	2.8000000000000007	3.4000000000000004	4.95199680740477	-1.10439597133253	0.958137068669271	-1.15264924763468	0.249054380686782	0.960224561962078
sense	NC_020059.1	Protein Homology	CDS	19261	20076	.	+	0	ID=cds-WP_015338187.1;Parent=gene-RTCIAT899_RS00110;Dbxref=GenBank:WP_015338187.1;Name=WP_015338187.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007694446.1;locus_tag=RTCIAT899_RS00110;product=oxidoreductase;protein_id=WP_015338187.1;transl_table=11	2.0	18.058823529411764	1.0	27.2	0	1.0	4.49913020266845	0.95455507818184	1.12836843933237	0.845960454855176	0.397574805248725	0.960224561962078
sense	NC_020059.1	Protein Homology	CDS	20148	21149	.	+	0	ID=cds-WP_015338188.1;Parent=gene-RTCIAT899_RS00115;Dbxref=GenBank:WP_015338188.1;Name=WP_015338188.1;Ontology_term=GO:0016491;gbkey=CDS;go_function=oxidoreductase activity|0016491||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_017957677.1;locus_tag=RTCIAT899_RS00115;product=NADP-dependent oxidoreductase;protein_id=WP_015338188.1;transl_table=11	0.5	8.0	0	15.5	2.0	0	2.21533070651657	0.103714360671976	1.12572984607515	0.0921307727902707	0.926594139268443	0.989848125171808
sense	NC_020059.1	Protein Homology	CDS	21260	21934	.	+	0	ID=cds-WP_015338189.1;Parent=gene-RTCIAT899_RS00120;Dbxref=GenBank:WP_015338189.1;Name=WP_015338189.1;Ontology_term=GO:0000162,GO:0004640;gbkey=CDS;go_function=phosphoribosylanthranilate isomerase activity|0004640||IEA;go_process=L-tryptophan biosynthetic process|0000162||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338189.1;locus_tag=RTCIAT899_RS00120;product=phosphoribosylanthranilate isomerase;protein_id=WP_015338189.1;transl_table=11	0	1.5	1.0	6.142857142857143	0	0	0.734313055209155	0.0387582659056984	0.975644716392487	0.0397257990070502	0.968311733274674	0.994400445557826
sense	NC_020059.1	Protein Homology	CDS	21931	23145	.	+	0	ID=cds-WP_015338190.1;Parent=gene-RTCIAT899_RS00125;Dbxref=GenBank:WP_015338190.1;Name=WP_015338190.1;Ontology_term=GO:0000162,GO:0004834;gbkey=CDS;gene=trpB;go_function=tryptophan synthase activity|0004834||IEA;go_process=L-tryptophan biosynthetic process|0000162||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338190.1;locus_tag=RTCIAT899_RS00125;product=tryptophan synthase subunit beta;protein_id=WP_015338190.1;transl_table=11	4.0	13.5	0	8.625	0	0	2.29497920376147	1.3900340083359	1.15170780977624	1.20693286659744	0.227457999033796	0.960224561962078
sense	NC_020059.1	Protein Homology	CDS	23156	23995	.	+	0	ID=cds-WP_041677136.1;Parent=gene-RTCIAT899_RS00130;Dbxref=GenBank:WP_041677136.1;Name=WP_041677136.1;Ontology_term=GO:0000162,GO:0004834;gbkey=CDS;gene=trpA;go_function=tryptophan synthase activity|0004834||IEA;go_process=L-tryptophan biosynthetic process|0000162||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_012559405.1;locus_tag=RTCIAT899_RS00130;product=tryptophan synthase subunit alpha;protein_id=WP_041677136.1;transl_table=11	1.2	4.0	1.1666666666666667	14.0	3.0	0	2.24671189076431	-0.419420486769318	1.16326926931848	-0.360553225148844	0.718433461279568	0.962881576092301
sense	NC_020059.1	Protein Homology	CDS	24105	25016	.	+	0	ID=cds-WP_015338192.1;Parent=gene-RTCIAT899_RS00135;Dbxref=GenBank:WP_015338192.1;Name=WP_015338192.1;Ontology_term=GO:0006633,GO:0003989,GO:0009317;gbkey=CDS;gene=accD;go_component=acetyl-CoA carboxylase complex|0009317||IEA;go_function=acetyl-CoA carboxylase activity|0003989||IEA;go_process=fatty acid biosynthetic process|0006633||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011423428.1;locus_tag=RTCIAT899_RS00135;product=acetyl-CoA carboxylase%2C carboxyltransferase subunit beta;protein_id=WP_015338192.1;transl_table=11	1.0	5.0	1.0	5.5	0	0.1111111111111111	1.11072888081456	0.560961824961809	1.1013498287901	0.50934027526754	0.610513731956539	0.960224561962078
sense	NC_020059.1	Protein Homology	CDS	25049	26401	.	+	0	ID=cds-WP_015338193.1;Parent=gene-RTCIAT899_RS00140;Dbxref=GenBank:WP_015338193.1;Name=WP_015338193.1;Ontology_term=GO:0006730,GO:0004326,GO:0005524,GO:0008841,GO:0046872;gbkey=CDS;go_function=tetrahydrofolylpolyglutamate synthase activity|0004326||IEA,ATP binding|0005524||IEA,dihydrofolate synthase activity|0008841||IEA,metal ion binding|0046872||IEA;go_process=one-carbon metabolic process|0006730||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338193.1;locus_tag=RTCIAT899_RS00140;product=bifunctional folylpolyglutamate synthase/dihydrofolate synthase;protein_id=WP_015338193.1;transl_table=11	20.0	25.0	15.0	34.59090909090909	3.0	1.0	10.7319757183302	1.44923259392118	0.807729846360035	1.79420458517415	0.0727805205737451	0.960224561962078
sense	NC_020059.1	Protein Homology	CDS	26652	26972	.	-	0	ID=cds-WP_015338194.1;Parent=gene-RTCIAT899_RS00145;Dbxref=GenBank:WP_015338194.1;Name=WP_015338194.1;Ontology_term=GO:0015035;gbkey=CDS;gene=trxA;go_function=protein-disulfide reductase activity|0015035||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003589503.1;locus_tag=RTCIAT899_RS00145;product=thioredoxin;protein_id=WP_015338194.1;transl_table=11	0	1.5	0	10.0	0	0	0.858575673313606	0.0267535666497098	0.910724731156755	0.0293761284111927	0.976564611354817	0.994400445557826
sense	NC_020059.1	Protein Homology	CDS	27048	30614	.	-	0	ID=cds-WP_015338195.1;Parent=gene-RTCIAT899_RS00150;Dbxref=GenBank:WP_015338195.1;Name=WP_015338195.1;Ontology_term=GO:0000724;gbkey=CDS;gene=addA;go_process=double-strand break repair via homologous recombination|0000724||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338195.1;locus_tag=RTCIAT899_RS00150;product=double-strand break repair helicase AddA;protein_id=WP_015338195.1;transl_table=11	11.0	37.5	5.7	64.61111111111111	4.333333333333333	1.0	11.588228560819	1.14423717440623	0.906069085535489	1.26285864143569	0.20663998564644	0.960224561962078
sense	NC_020059.1	Protein Homology	CDS	30607	33798	.	-	0	ID=cds-WP_041677137.1;Parent=gene-RTCIAT899_RS00155;Dbxref=GenBank:WP_041677137.1;Name=WP_041677137.1;Ontology_term=GO:0000724;gbkey=CDS;gene=addB;go_process=double-strand break repair via homologous recombination|0000724||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003583275.1;locus_tag=RTCIAT899_RS00155;product=double-strand break repair protein AddB;protein_id=WP_041677137.1;transl_table=11	1.25	19.2	1.376984126984127	32.25	3.4722222222222223	1.0	5.46586295503206	0.210221582148452	1.07681754943766	0.1952248849011	0.845216898521314	0.973247772378739
sense	NC_020059.1	Protein Homology	CDS	33803	34534	.	-	0	ID=cds-WP_015338197.1;Parent=gene-RTCIAT899_RS00160;Dbxref=GenBank:WP_015338197.1;Name=WP_015338197.1;Ontology_term=GO:0000166,GO:0016779,GO:0046872;gbkey=CDS;go_function=nucleotide binding|0000166||IEA,nucleotidyltransferase activity|0016779||IEA,metal ion binding|0046872||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003571389.1;locus_tag=RTCIAT899_RS00160;product=nucleotidyltransferase family protein;protein_id=WP_015338197.1;transl_table=11	0	19.5	0	14.0	0	0	2.62941634339429	1.04403513885803	1.10811031858607	0.942176172666815	0.346102450840812	0.960224561962078
sense	NC_020059.1	Protein Homology	CDS	34608	36119	.	-	0	ID=cds-WP_015338198.1;Parent=gene-RTCIAT899_RS00165;Dbxref=GenBank:WP_015338198.1;Name=WP_015338198.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127524.1;locus_tag=RTCIAT899_RS00165;product=bifunctional tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE/phosphotransferase;protein_id=WP_015338198.1;transl_table=11	1.476190476190476	21.785714285714285	2.717032967032967	20.5	3.628571428571428	1.4285714285714286	5.41089683160845	0.20160262320372	1.02852112927941	0.196012135739947	0.84460066730316	0.973247772378739
sense	NC_020059.1	Protein Homology	CDS	36116	38695	.	-	0	ID=cds-WP_015338199.1;Parent=gene-RTCIAT899_RS00170;Dbxref=GenBank:WP_015338199.1;Name=WP_015338199.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127526.1;locus_tag=RTCIAT899_RS00170;product=PAS domain-containing sensor histidine kinase;protein_id=WP_015338199.1;transl_table=11	0.03571428571428571	31.0	2.0428571428571427	41.0	0	0	5.7178618709354	0.705396135614368	1.03293557945858	0.682904287200664	0.494667324723006	0.960224561962078
sense	NC_020059.1	Protein Homology	CDS	39012	40412	.	-	0	ID=cds-WP_015338200.1;Parent=gene-RTCIAT899_RS00175;Dbxref=GenBank:WP_015338200.1;Name=WP_015338200.1;Ontology_term=GO:0006730,GO:0004013;gbkey=CDS;gene=ahcY;go_function=adenosylhomocysteinase activity|0004013||IEA;go_process=one-carbon metabolic process|0006730||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_012759568.1;locus_tag=RTCIAT899_RS00175;product=adenosylhomocysteinase;protein_id=WP_015338200.1;transl_table=11	1.0	25.0	1.0	35.0	2.0	3.0	7.40522589520381	-0.041658456217529	1.05894349263486	-0.0393396404126103	0.968619602584659	0.994400445557826
sense	NC_020059.1	Protein Homology	CDS	40591	40866	.	-	0	ID=cds-WP_015338201.1;Parent=gene-RTCIAT899_RS00180;Dbxref=GenBank:WP_015338201.1;Name=WP_015338201.1;Ontology_term=GO:0008982;gbkey=CDS;go_function=protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|0008982||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003544133.1;locus_tag=RTCIAT899_RS00180;product=HPr family phosphocarrier protein;protein_id=WP_015338201.1;transl_table=11	1.0	4.0	1.537037037037037	3.0	0	0	0.972737057895751	0.478192073839987	1.09064406478819	0.438449251482292	0.661060650404788	0.960357823831468
sense	NC_020059.1	Protein Homology	CDS	40886	41287	.	-	0	ID=cds-WP_015338202.1;Parent=gene-RTCIAT899_RS00185;Dbxref=GenBank:WP_015338202.1;Name=WP_015338202.1;Ontology_term=GO:0008643,GO:0009401,GO:0016310,GO:1902495;gbkey=CDS;go_component=transmembrane transporter complex|1902495||IEA;go_process=carbohydrate transport|0008643||IEA,phosphoenolpyruvate-dependent sugar phosphotransferase system|0009401||IEA,phosphorylation|0016310||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003544139.1;locus_tag=RTCIAT899_RS00185;product=PTS sugar transporter subunit IIA;protein_id=WP_015338202.1;transl_table=11	1.5	5.0	1.6428571428571428	15.0	1.0	0	2.23592346392583	0.414912776554398	1.15971497002778	0.357771338024946	0.720514441647052	0.963432919274349
sense	NC_020059.1	Protein Homology	CDS	41440	41892	.	-	0	ID=cds-WP_015338203.1;Parent=gene-RTCIAT899_RS00190;Dbxref=GenBank:WP_015338203.1;Name=WP_015338203.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338203.1;locus_tag=RTCIAT899_RS00190;product=HPr kinase/phosphorylase;protein_id=WP_015338203.1;transl_table=11	10.5	9.0	7.5	12.5	3.0	5.5	9.10545567797472	-0.900368140427739	0.854428806357638	-1.05376613443774	0.291990001856099	0.960224561962078
sense	NC_020059.1	Protein Homology	CDS	41901	43694	.	-	0	ID=cds-WP_015338204.1;Parent=gene-RTCIAT899_RS00195;Dbxref=GenBank:WP_015338204.1;Name=WP_015338204.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_018494234.1;locus_tag=RTCIAT899_RS00195;product=sensor histidine kinase;protein_id=WP_015338204.1;transl_table=11	3.5384615384615383	15.5	5.5	35.5	2.0	1.5	7.14617339384164	0.168773222624406	0.92854417851149	0.181761112212194	0.855770204052068	0.977390919310389
