# Reference library (divisor): control
# Comparison library (numerator): apigennin
Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	apigennin_r1 raw countings	apigennin_r2 raw countings	control_r1 raw countings	control_r2 raw countings	salt_r1 raw countings	salt_r2 raw countings	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
sense	NC_020059.1	Protein Homology	CDS	7788	8153	.	+	0	ID=cds-WP_015338176.1;Parent=gene-RTCIAT899_RS00055;Dbxref=GenBank:WP_015338176.1;Name=WP_015338176.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127457.1;locus_tag=RTCIAT899_RS00055;product=helix-turn-helix domain-containing protein;protein_id=WP_015338176.1;transl_table=11	0	4.0	3.5	8.5	2.0	0	1.94040250273632	-0.861353783900449	1.16524158920363	-0.739206179972629	0.459781808759561	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	8414	10849	.	+	0	ID=cds-WP_015338177.1;Parent=gene-RTCIAT899_RS00060;Dbxref=GenBank:WP_015338177.1;Name=WP_015338177.1;Ontology_term=GO:0006265,GO:0003677,GO:0003918,GO:0005524,GO:0005694;gbkey=CDS;gene=gyrB;go_component=chromosome|0005694||IEA;go_function=DNA binding|0003677||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA,ATP binding|0005524||IEA;go_process=DNA topological change|0006265||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011423418.1;locus_tag=RTCIAT899_RS00060;product=DNA topoisomerase (ATP-hydrolyzing) subunit B;protein_id=WP_015338177.1;transl_table=11	2.0	35.5	4.2	32.33333333333333	1.0454545454545454	1.0	7.01919132441039	0.15202187211878	0.951337047004962	0.159798120547687	0.873040104642672	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	10914	11513	.	-	0	ID=cds-WP_015338178.1;Parent=gene-RTCIAT899_RS00065;Dbxref=GenBank:WP_015338178.1;Name=WP_015338178.1;Ontology_term=GO:0000166,GO:0016491;gbkey=CDS;go_function=nucleotide binding|0000166||IEA,oxidoreductase activity|0016491||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127466.1;locus_tag=RTCIAT899_RS00065;product=nitroreductase family protein;protein_id=WP_015338178.1;transl_table=11	0	13.0	1.0	7.0	0	2.0	3.17173260568987	0.388015935887676	1.16290232634257	0.333661673124364	0.738634874068767	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	11593	11883	.	-	0	ID=cds-WP_015338179.1;Parent=gene-RTCIAT899_RS00070;Dbxref=GenBank:WP_015338179.1;Name=WP_015338179.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338179.1;locus_tag=RTCIAT899_RS00070;product=DUF2218 domain-containing protein;protein_id=WP_015338179.1;transl_table=11	1.3333333333333333	5.0	0	9.0	0.25	0	1.16573172694527	-0.0774334359349323	1.05671024028785	-0.0732778324489779	0.941585031410922	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	12045	12998	.	+	0	ID=cds-WP_015338180.1;Parent=gene-RTCIAT899_RS00075;Dbxref=GenBank:WP_015338180.1;Name=WP_015338180.1;Ontology_term=GO:0004364,GO:0016491;gbkey=CDS;go_function=glutathione transferase activity|0004364||IEA,oxidoreductase activity|0016491||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004675171.1;locus_tag=RTCIAT899_RS00075;product=glutathione S-transferase family protein;protein_id=WP_015338180.1;transl_table=11	0.125	28.0	3.0	44.0	1.0	3.0	8.23400354735571	-0.30224353554061	1.16542156185749	-0.259342666578849	0.795370862028235	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	13075	14493	.	+	0	ID=cds-WP_015338181.1;Parent=gene-RTCIAT899_RS00080;Dbxref=GenBank:WP_015338181.1;Name=WP_015338181.1;Ontology_term=GO:0019752,GO:0016830,GO:0030170;gbkey=CDS;go_function=carbon-carbon lyase activity|0016830||IEA,pyridoxal phosphate binding|0030170||IEA;go_process=carboxylic acid metabolic process|0019752||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338181.1;locus_tag=RTCIAT899_RS00080;product=pyridoxal phosphate-dependent decarboxylase family protein;protein_id=WP_015338181.1;transl_table=11	0.0625	6.0	2.5	22.0	2.0	1.0	3.49810484128282	-1.21085052209428	1.10192500904896	-1.09885020500563	0.271833409408684	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	14626	15468	.	+	0	ID=cds-WP_015338182.1;Parent=gene-RTCIAT899_RS00085;Dbxref=GenBank:WP_015338182.1;Name=WP_015338182.1;Ontology_term=GO:0003824,GO:0016787;gbkey=CDS;go_function=catalytic activity|0003824||IEA,hydrolase activity|0016787||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127478.1;locus_tag=RTCIAT899_RS00085;product=fumarylacetoacetate hydrolase family protein;protein_id=WP_015338182.1;transl_table=11	2.333333333333333	5.0	3.0	4.0	1.0	0	1.62684244200519	-0.0575443662774177	1.16369490437632	-0.0494497020318726	0.960560920086851	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	15755	17032	.	+	0	ID=cds-WP_015338183.1;Parent=gene-RTCIAT899_RS00090;Dbxref=GenBank:WP_015338183.1;Name=WP_015338183.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003536442.1;locus_tag=RTCIAT899_RS00090;product=polyhydroxyalkanoate depolymerase;protein_id=WP_015338183.1;transl_table=11	6.0	25.0	13.045454545454545	43.0	2.0	2.0	9.70222566776652	-0.70666038934126	0.745029783218462	-0.948499516742204	0.342875218711504	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	17352	17789	.	+	0	ID=cds-WP_015338184.1;Parent=gene-RTCIAT899_RS00095;Dbxref=GenBank:WP_015338184.1;Name=WP_015338184.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003544108.1;locus_tag=RTCIAT899_RS00095;product=DUF2852 domain-containing protein;protein_id=WP_015338184.1;transl_table=11	0	9.333333333333334	1.0	10.5	0	1.0	2.31991549753975	-0.0882327240161299	1.16347349031567	-0.0758356118558324	0.93954988352649	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	17879	18640	.	+	0	ID=cds-WP_015338185.1;Parent=gene-RTCIAT899_RS00100;Dbxref=GenBank:WP_015338185.1;Name=WP_015338185.1;Ontology_term=GO:0006508,GO:0008233,GO:0008237,GO:0008270,GO:0016787,GO:0046872;gbkey=CDS;go_function=peptidase activity|0008233||IEA,metallopeptidase activity|0008237||IEA,zinc ion binding|0008270||IEA,hydrolase activity|0016787||IEA,metal ion binding|0046872||IEA;go_process=proteolysis|0006508||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003544112.1;locus_tag=RTCIAT899_RS00100;product=M48 family metallopeptidase;protein_id=WP_015338185.1;transl_table=11	1.0	11.0	4.0	17.5	2.0	0	3.34137195523152	-0.585072811346138	1.07526877379068	-0.544117736520482	0.586360455939894	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	18740	19171	.	-	0	ID=cds-WP_015338186.1;Parent=gene-RTCIAT899_RS00105;Dbxref=GenBank:WP_015338186.1;Name=WP_015338186.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338186.1;locus_tag=RTCIAT899_RS00105;product=winged helix-turn-helix transcriptional regulator;protein_id=WP_015338186.1;transl_table=11	4.4	5.0	5.200000000000001	6.4	2.8000000000000007	3.4000000000000004	4.95199680740477	-0.24587295621531	0.917206501537547	-0.268067175497714	0.788647611576211	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	19261	20076	.	+	0	ID=cds-WP_015338187.1;Parent=gene-RTCIAT899_RS00110;Dbxref=GenBank:WP_015338187.1;Name=WP_015338187.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007694446.1;locus_tag=RTCIAT899_RS00110;product=oxidoreductase;protein_id=WP_015338187.1;transl_table=11	2.0	18.058823529411764	1.0	27.2	0	1.0	4.49913020266845	-0.165520227257283	1.08251275022643	-0.152903720739234	0.878474201690106	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	20148	21149	.	+	0	ID=cds-WP_015338188.1;Parent=gene-RTCIAT899_RS00115;Dbxref=GenBank:WP_015338188.1;Name=WP_015338188.1;Ontology_term=GO:0016491;gbkey=CDS;go_function=oxidoreductase activity|0016491||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_017957677.1;locus_tag=RTCIAT899_RS00115;product=NADP-dependent oxidoreductase;protein_id=WP_015338188.1;transl_table=11	0.5	8.0	0	15.5	2.0	0	2.21533070651657	-0.314378031293417	1.1414419425981	-0.275421832299104	0.782992172709981	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	21260	21934	.	+	0	ID=cds-WP_015338189.1;Parent=gene-RTCIAT899_RS00120;Dbxref=GenBank:WP_015338189.1;Name=WP_015338189.1;Ontology_term=GO:0000162,GO:0004640;gbkey=CDS;go_function=phosphoribosylanthranilate isomerase activity|0004640||IEA;go_process=L-tryptophan biosynthetic process|0000162||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338189.1;locus_tag=RTCIAT899_RS00120;product=phosphoribosylanthranilate isomerase;protein_id=WP_015338189.1;transl_table=11	0	1.5	1.0	6.142857142857143	0	0	0.734313055209155	-0.461018687120432	0.995020880622903	-0.463325640796428	0.643130969450004	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	21931	23145	.	+	0	ID=cds-WP_015338190.1;Parent=gene-RTCIAT899_RS00125;Dbxref=GenBank:WP_015338190.1;Name=WP_015338190.1;Ontology_term=GO:0000162,GO:0004834;gbkey=CDS;gene=trpB;go_function=tryptophan synthase activity|0004834||IEA;go_process=L-tryptophan biosynthetic process|0000162||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338190.1;locus_tag=RTCIAT899_RS00125;product=tryptophan synthase subunit beta;protein_id=WP_015338190.1;transl_table=11	4.0	13.5	0	8.625	0	0	2.29497920376147	0.727464770915707	1.16347199271842	0.625253358455155	0.531804786551928	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	23156	23995	.	+	0	ID=cds-WP_041677136.1;Parent=gene-RTCIAT899_RS00130;Dbxref=GenBank:WP_041677136.1;Name=WP_041677136.1;Ontology_term=GO:0000162,GO:0004834;gbkey=CDS;gene=trpA;go_function=tryptophan synthase activity|0004834||IEA;go_process=L-tryptophan biosynthetic process|0000162||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_012559405.1;locus_tag=RTCIAT899_RS00130;product=tryptophan synthase subunit alpha;protein_id=WP_041677136.1;transl_table=11	1.2	4.0	1.1666666666666667	14.0	3.0	0	2.24671189076431	-0.732946614209837	1.15497362292892	-0.634600305720528	0.525689128726756	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	24105	25016	.	+	0	ID=cds-WP_015338192.1;Parent=gene-RTCIAT899_RS00135;Dbxref=GenBank:WP_015338192.1;Name=WP_015338192.1;Ontology_term=GO:0006633,GO:0003989,GO:0009317;gbkey=CDS;gene=accD;go_component=acetyl-CoA carboxylase complex|0009317||IEA;go_function=acetyl-CoA carboxylase activity|0003989||IEA;go_process=fatty acid biosynthetic process|0006633||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011423428.1;locus_tag=RTCIAT899_RS00135;product=acetyl-CoA carboxylase%2C carboxyltransferase subunit beta;protein_id=WP_015338192.1;transl_table=11	1.0	5.0	1.0	5.5	0	0.1111111111111111	1.11072888081456	-0.0317929585290859	1.12260553931629	-0.0283206855975868	0.977406382494817	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	25049	26401	.	+	0	ID=cds-WP_015338193.1;Parent=gene-RTCIAT899_RS00140;Dbxref=GenBank:WP_015338193.1;Name=WP_015338193.1;Ontology_term=GO:0006730,GO:0004326,GO:0005524,GO:0008841,GO:0046872;gbkey=CDS;go_function=tetrahydrofolylpolyglutamate synthase activity|0004326||IEA,ATP binding|0005524||IEA,dihydrofolate synthase activity|0008841||IEA,metal ion binding|0046872||IEA;go_process=one-carbon metabolic process|0006730||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338193.1;locus_tag=RTCIAT899_RS00140;product=bifunctional folylpolyglutamate synthase/dihydrofolate synthase;protein_id=WP_015338193.1;transl_table=11	20.0	25.0	15.0	34.59090909090909	3.0	1.0	10.7319757183302	-0.0349343892894617	0.636360987552135	-0.0548971259596577	0.956220421579973	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	26652	26972	.	-	0	ID=cds-WP_015338194.1;Parent=gene-RTCIAT899_RS00145;Dbxref=GenBank:WP_015338194.1;Name=WP_015338194.1;Ontology_term=GO:0015035;gbkey=CDS;gene=trxA;go_function=protein-disulfide reductase activity|0015035||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003589503.1;locus_tag=RTCIAT899_RS00145;product=thioredoxin;protein_id=WP_015338194.1;transl_table=11	0	1.5	0	10.0	0	0	0.858575673313606	-0.444619619445601	0.926397477953201	-0.479944764560404	0.631266669544097	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	27048	30614	.	-	0	ID=cds-WP_015338195.1;Parent=gene-RTCIAT899_RS00150;Dbxref=GenBank:WP_015338195.1;Name=WP_015338195.1;Ontology_term=GO:0000724;gbkey=CDS;gene=addA;go_process=double-strand break repair via homologous recombination|0000724||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338195.1;locus_tag=RTCIAT899_RS00150;product=double-strand break repair helicase AddA;protein_id=WP_015338195.1;transl_table=11	11.0	37.5	5.7	64.61111111111111	4.333333333333333	1.0	11.588228560819	-0.236990101928517	0.808393939564718	-0.293161650934846	0.769398595043057	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	30607	33798	.	-	0	ID=cds-WP_041677137.1;Parent=gene-RTCIAT899_RS00155;Dbxref=GenBank:WP_041677137.1;Name=WP_041677137.1;Ontology_term=GO:0000724;gbkey=CDS;gene=addB;go_process=double-strand break repair via homologous recombination|0000724||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003583275.1;locus_tag=RTCIAT899_RS00155;product=double-strand break repair protein AddB;protein_id=WP_041677137.1;transl_table=11	1.25	19.2	1.376984126984127	32.25	3.4722222222222223	1.0	5.46586295503206	-0.364012529705237	1.03162268923173	-0.352854326979106	0.724197652910404	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	33803	34534	.	-	0	ID=cds-WP_015338197.1;Parent=gene-RTCIAT899_RS00160;Dbxref=GenBank:WP_015338197.1;Name=WP_015338197.1;Ontology_term=GO:0000166,GO:0016779,GO:0046872;gbkey=CDS;go_function=nucleotide binding|0000166||IEA,nucleotidyltransferase activity|0016779||IEA,metal ion binding|0046872||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003571389.1;locus_tag=RTCIAT899_RS00160;product=nucleotidyltransferase family protein;protein_id=WP_015338197.1;transl_table=11	0	19.5	0	14.0	0	0	2.62941634339429	0.336594487300837	1.12685344731027	0.298702984051979	0.765166680004601	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	34608	36119	.	-	0	ID=cds-WP_015338198.1;Parent=gene-RTCIAT899_RS00165;Dbxref=GenBank:WP_015338198.1;Name=WP_015338198.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127524.1;locus_tag=RTCIAT899_RS00165;product=bifunctional tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE/phosphotransferase;protein_id=WP_015338198.1;transl_table=11	1.476190476190476	21.785714285714285	2.717032967032967	20.5	3.628571428571428	1.4285714285714286	5.41089683160845	0.0614800261474039	0.976148577882452	0.0629822421918309	0.949780644921669	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	36116	38695	.	-	0	ID=cds-WP_015338199.1;Parent=gene-RTCIAT899_RS00170;Dbxref=GenBank:WP_015338199.1;Name=WP_015338199.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127526.1;locus_tag=RTCIAT899_RS00170;product=PAS domain-containing sensor histidine kinase;protein_id=WP_015338199.1;transl_table=11	0.03571428571428571	31.0	2.0428571428571427	41.0	0	0	5.7178618709354	-0.104805006722397	1.0444424012194	-0.100345415505954	0.920070103057402	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	39012	40412	.	-	0	ID=cds-WP_015338200.1;Parent=gene-RTCIAT899_RS00175;Dbxref=GenBank:WP_015338200.1;Name=WP_015338200.1;Ontology_term=GO:0006730,GO:0004013;gbkey=CDS;gene=ahcY;go_function=adenosylhomocysteinase activity|0004013||IEA;go_process=one-carbon metabolic process|0006730||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_012759568.1;locus_tag=RTCIAT899_RS00175;product=adenosylhomocysteinase;protein_id=WP_015338200.1;transl_table=11	1.0	25.0	1.0	35.0	2.0	3.0	7.40522589520381	-0.179662172014534	1.02741523786165	-0.174868120886024	0.861183260115228	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	40591	40866	.	-	0	ID=cds-WP_015338201.1;Parent=gene-RTCIAT899_RS00180;Dbxref=GenBank:WP_015338201.1;Name=WP_015338201.1;Ontology_term=GO:0008982;gbkey=CDS;go_function=protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|0008982||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003544133.1;locus_tag=RTCIAT899_RS00180;product=HPr family phosphocarrier protein;protein_id=WP_015338201.1;transl_table=11	1.0	4.0	1.537037037037037	3.0	0	0	0.972737057895751	-0.0528452362102704	1.11231763550982	-0.047509123763959	0.962107458836188	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	40886	41287	.	-	0	ID=cds-WP_015338202.1;Parent=gene-RTCIAT899_RS00185;Dbxref=GenBank:WP_015338202.1;Name=WP_015338202.1;Ontology_term=GO:0008643,GO:0009401,GO:0016310,GO:1902495;gbkey=CDS;go_component=transmembrane transporter complex|1902495||IEA;go_process=carbohydrate transport|0008643||IEA,phosphoenolpyruvate-dependent sugar phosphotransferase system|0009401||IEA,phosphorylation|0016310||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003544139.1;locus_tag=RTCIAT899_RS00185;product=PTS sugar transporter subunit IIA;protein_id=WP_015338202.1;transl_table=11	1.5	5.0	1.6428571428571428	15.0	1.0	0	2.23592346392583	-0.647077516054468	1.14128745038299	-0.566971551152448	0.570733510099656	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	41440	41892	.	-	0	ID=cds-WP_015338203.1;Parent=gene-RTCIAT899_RS00190;Dbxref=GenBank:WP_015338203.1;Name=WP_015338203.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338203.1;locus_tag=RTCIAT899_RS00190;product=HPr kinase/phosphorylase;protein_id=WP_015338203.1;transl_table=11	10.5	9.0	7.5	12.5	3.0	5.5	9.10545567797472	-0.0140060800795752	0.819592377050338	-0.0170890804645869	0.986365550168775	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	41901	43694	.	-	0	ID=cds-WP_015338204.1;Parent=gene-RTCIAT899_RS00195;Dbxref=GenBank:WP_015338204.1;Name=WP_015338204.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_018494234.1;locus_tag=RTCIAT899_RS00195;product=sensor histidine kinase;protein_id=WP_015338204.1;transl_table=11	3.5384615384615383	15.5	5.5	35.5	2.0	1.5	7.14617339384164	-0.77075378629818	0.828626243272026	-0.93015855164649	0.352288998669053	0.999994493201698
